tid,competition_name,type,win,goals_for,goals_against,game_count,team_name,tricode,pp,pk,ppgf,win_pct,avg_gf,avg_ga
1,2010 NHL Regular Season,2,36.0,223.0,259.0,82,Toronto Maple Leafs,TOR,368,426,46.0,0.43902439024390244,2.825894304549876,2.825894304549876
1,2013 NHL Regular Season,2,38.0,231.0,250.0,79,Toronto Maple Leafs,TOR,362,342,61.0,0.4810126582278481,2.825894304549876,2.825894304549876
1,2014 NHL Regular Season,2,29.0,209.0,258.0,78,Toronto Maple Leafs,TOR,319,343,54.0,0.3717948717948718,2.825894304549876,2.825894304549876
1,2015 NHL Regular Season,2,29.0,196.0,238.0,79,Toronto Maple Leafs,TOR,324,307,27.0,0.3670886075949367,2.825894304549876,2.825894304549876
1,2016 NHL Regular Season,2,40.0,255.0,246.0,82,Toronto Maple Leafs,TOR,321,321,69.0,0.4878048780487805,2.825894304549876,2.825894304549876
1,2017 NHL Regular Season,2,47.0,268.0,232.0,79,Toronto Maple Leafs,TOR,256,245,58.0,0.5949367088607594,2.825894304549876,2.825894304549876
2,2010 NHL Regular Season,2,43.0,213.0,203.0,79,Montréal Canadiens,MTL,399,363,69.0,0.5443037974683544,2.825894304549876,2.825894304549876
2,2013 NHL Regular Season,2,45.5,216.0,206.0,81,Montréal Canadiens,MTL,387,385,56.0,0.5617283950617284,2.825894304549876,2.825894304549876
2,2014 NHL Regular Season,2,49.0,223.0,188.0,79,Montréal Canadiens,MTL,316,305,39.0,0.620253164556962,2.825894304549876,2.825894304549876
2,2015 NHL Regular Season,2,35.5,211.0,229.0,78,Montréal Canadiens,MTL,293,316,57.0,0.4551282051282051,2.825894304549876,2.825894304549876
2,2016 NHL Regular Season,2,47.5,231.0,203.0,82,Montréal Canadiens,MTL,307,286,50.0,0.5792682926829268,2.825894304549876,2.825894304549876
2,2017 NHL Regular Season,2,27.5,205.0,258.0,79,Montréal Canadiens,MTL,300,278,53.0,0.34810126582278483,2.825894304549876,2.825894304549876
4,2013 NHL Regular Season,2,36.0,235.0,249.0,81,Winnipeg Jets,WPG,367,344,27.0,0.4444444444444444,2.825894304549876,2.825894304549876
4,2014 NHL Regular Season,2,41.5,229.0,212.0,80,Winnipeg Jets,WPG,407,361,52.0,0.51875,2.825894304549876,2.825894304549876
4,2015 NHL Regular Season,2,35.0,216.0,235.0,80,Winnipeg Jets,WPG,353,327,41.0,0.4375,2.825894304549876,2.825894304549876
4,2016 NHL Regular Season,2,40.0,245.0,247.0,80,Winnipeg Jets,WPG,332,317,49.0,0.5,2.825894304549876,2.825894304549876
4,2017 NHL Regular Season,2,51.0,274.0,214.0,80,Winnipeg Jets,WPG,307,304,69.0,0.6375,2.825894304549876,2.825894304549876
5,2010 NHL Regular Season,2,46.0,219.0,201.0,81,Washington Capitals,WSH,360,329,69.0,0.5679012345679012,2.825894304549876,2.825894304549876
5,2013 NHL Regular Season,2,36.0,242.0,251.0,80,Washington Capitals,WSH,354,363,81.0,0.45,2.825894304549876,2.825894304549876
5,2014 NHL Regular Season,2,45.0,251.0,209.0,81,Washington Capitals,WSH,351,328,75.0,0.5555555555555556,2.825894304549876,2.825894304549876
5,2015 NHL Regular Season,2,54.5,245.0,186.0,78,Washington Capitals,WSH,304,303,67.0,0.6987179487179487,2.825894304549876,2.825894304549876
5,2016 NHL Regular Season,2,54.5,265.0,186.0,81,Washington Capitals,WSH,329,306,67.0,0.6728395061728395,2.825894304549876,2.825894304549876
5,2017 NHL Regular Season,2,48.0,255.0,240.0,81,Washington Capitals,WSH,327,297,67.0,0.5925925925925926,2.825894304549876,2.825894304549876
6,2010 NHL Regular Season,2,41.5,246.0,222.0,78,Chicago Blackhawks,CHI,296,310,93.0,0.532051282051282,2.825894304549876,2.825894304549876
6,2013 NHL Regular Season,2,46.5,278.0,231.0,82,Chicago Blackhawks,CHI,290,305,73.0,0.5670731707317073,2.825894304549876,2.825894304549876
6,2014 NHL Regular Season,2,46.5,232.0,189.0,80,Chicago Blackhawks,CHI,252,307,53.0,0.58125,2.825894304549876,2.825894304549876
6,2015 NHL Regular Season,2,44.5,228.0,207.0,80,Chicago Blackhawks,CHI,267,297,61.0,0.55625,2.825894304549876,2.825894304549876
6,2016 NHL Regular Season,2,50.0,248.0,215.0,82,Chicago Blackhawks,CHI,251,269,46.0,0.6097560975609756,2.825894304549876,2.825894304549876
6,2017 NHL Regular Season,2,33.0,225.0,248.0,80,Chicago Blackhawks,CHI,268,303,49.0,0.4125,2.825894304549876,2.825894304549876
7,2010 NHL Regular Season,2,34.5,237.0,230.0,77,St. Louis Blues,STL,387,384,39.0,0.44805194805194803,2.825894304549876,2.825894304549876
7,2013 NHL Regular Season,2,52.0,260.0,200.0,82,St. Louis Blues,STL,401,394,81.0,0.6341463414634146,2.825894304549876,2.825894304549876
7,2014 NHL Regular Season,2,49.0,243.0,199.0,79,St. Louis Blues,STL,347,332,63.0,0.620253164556962,2.825894304549876,2.825894304549876
7,2015 NHL Regular Season,2,49.0,232.0,205.0,81,St. Louis Blues,STL,345,310,57.0,0.6049382716049383,2.825894304549876,2.825894304549876
7,2016 NHL Regular Season,2,46.0,236.0,217.0,81,St. Louis Blues,STL,311,289,56.0,0.5679012345679012,2.825894304549876,2.825894304549876
7,2017 NHL Regular Season,2,42.5,223.0,215.0,79,St. Louis Blues,STL,259,281,43.0,0.5379746835443038,2.825894304549876,2.825894304549876
8,2010 NHL Regular Season,2,49.0,242.0,195.0,81,Pittsburgh Penguins,PIT,457,444,62.0,0.6049382716049383,2.825894304549876,2.825894304549876
8,2013 NHL Regular Season,2,49.0,241.0,202.0,80,Pittsburgh Penguins,PIT,333,356,79.0,0.6125,2.825894304549876,2.825894304549876
8,2014 NHL Regular Season,2,43.0,229.0,218.0,82,Pittsburgh Penguins,PIT,407,380,54.0,0.524390243902439,2.825894304549876,2.825894304549876
8,2015 NHL Regular Season,2,46.5,245.0,204.0,81,Pittsburgh Penguins,PIT,313,320,42.0,0.5740740740740741,2.825894304549876,2.825894304549876
8,2016 NHL Regular Season,2,47.5,270.0,227.0,79,Pittsburgh Penguins,PIT,294,298,32.0,0.6012658227848101,2.825894304549876,2.825894304549876
8,2017 NHL Regular Season,2,46.0,271.0,249.0,82,Pittsburgh Penguins,PIT,326,317,47.0,0.5609756097560976,2.825894304549876,2.825894304549876
