tid,competition_name,type,win,goals_for,goals_against,game_count,team_name,tricode,pp,pk,ppgf,win_pct,avg_gf,avg_ga
1,2010 NHL Regular Season,2,36.0,223.0,259.0,82,Toronto Maple Leafs,TOR,368,426,46.0,0.43902439024390244,2.825894304549876,2.825894304549876
1,2011 NHL Regular Season,2,20.0,129.0,129.0,40,Toronto Maple Leafs,TOR,192,182,36.0,0.5,2.825894304549876,2.825894304549876
1,2012 NHL Playoff,3,3.0,18.0,22.0,7,Toronto Maple Leafs,TOR,30,29,5.0,0.42857142857142855,2.825894304549876,2.825894304549876
1,2012 NHL Regular Season,2,25.0,144.0,129.0,46,Toronto Maple Leafs,TOR,234,230,39.0,0.5434782608695652,2.825894304549876,2.825894304549876
1,2013 NHL Regular Season,2,38.0,231.0,250.0,79,Toronto Maple Leafs,TOR,362,342,61.0,0.4810126582278481,2.825894304549876,2.825894304549876
1,2014 NHL Regular Season,2,29.0,209.0,258.0,78,Toronto Maple Leafs,TOR,319,343,54.0,0.3717948717948718,2.825894304549876,2.825894304549876
1,2015 NHL Regular Season,2,29.0,196.0,238.0,79,Toronto Maple Leafs,TOR,324,307,27.0,0.3670886075949367,2.825894304549876,2.825894304549876
1,2016 NHL Playoff,3,2.0,16.0,18.0,6,Toronto Maple Leafs,TOR,23,25,3.0,0.3333333333333333,2.825894304549876,2.825894304549876
1,2016 NHL Regular Season,2,40.0,255.0,246.0,82,Toronto Maple Leafs,TOR,321,321,69.0,0.4878048780487805,2.825894304549876,2.825894304549876
1,2017 NHL Playoff,3,3.0,20.0,28.0,7,Toronto Maple Leafs,TOR,26,21,4.0,0.42857142857142855,2.825894304549876,2.825894304549876
1,2017 NHL Regular Season,2,47.0,268.0,232.0,79,Toronto Maple Leafs,TOR,256,245,58.0,0.5949367088607594,2.825894304549876,2.825894304549876
2,2010 NHL Playoff,3,3.0,17.0,17.0,7,Montréal Canadiens,MTL,24,31,6.0,0.42857142857142855,2.825894304549876,2.825894304549876
2,2010 NHL Regular Season,2,43.0,213.0,203.0,79,Montréal Canadiens,MTL,399,363,69.0,0.5443037974683544,2.825894304549876,2.825894304549876
2,2011 NHL Regular Season,2,14.0,104.0,114.0,39,Montréal Canadiens,MTL,175,183,37.0,0.358974358974359,2.825894304549876,2.825894304549876
2,2012 NHL Playoff,3,1.0,9.0,20.0,5,Montréal Canadiens,MTL,41,33,3.0,0.2,2.825894304549876,2.825894304549876
2,2012 NHL Regular Season,2,29.0,152.0,129.0,48,Montréal Canadiens,MTL,237,275,53.0,0.6041666666666666,2.825894304549876,2.825894304549876
2,2013 NHL Playoff,3,10.0,51.0,46.0,17,Montréal Canadiens,MTL,76,82,18.0,0.5882352941176471,2.825894304549876,2.825894304549876
2,2013 NHL Regular Season,2,45.5,216.0,206.0,81,Montréal Canadiens,MTL,387,385,56.0,0.5617283950617284,2.825894304549876,2.825894304549876
2,2014 NHL Playoff,3,6.0,25.0,29.0,12,Montréal Canadiens,MTL,54,49,7.0,0.5,2.825894304549876,2.825894304549876
2,2014 NHL Regular Season,2,49.0,223.0,188.0,79,Montréal Canadiens,MTL,316,305,39.0,0.620253164556962,2.825894304549876,2.825894304549876
2,2015 NHL Regular Season,2,35.5,211.0,229.0,78,Montréal Canadiens,MTL,293,316,57.0,0.4551282051282051,2.825894304549876,2.825894304549876
2,2016 NHL Playoff,3,2.0,11.0,14.0,6,Montréal Canadiens,MTL,22,24,3.0,0.3333333333333333,2.825894304549876,2.825894304549876
2,2016 NHL Regular Season,2,47.5,231.0,203.0,82,Montréal Canadiens,MTL,307,286,50.0,0.5792682926829268,2.825894304549876,2.825894304549876
2,2017 NHL Regular Season,2,27.5,205.0,258.0,79,Montréal Canadiens,MTL,300,278,53.0,0.34810126582278483,2.825894304549876,2.825894304549876
4,2011 NHL Regular Season,2,19.0,107.0,119.0,40,Winnipeg Jets,WPG,200,163,28.0,0.475,2.825894304549876,2.825894304549876
4,2012 NHL Regular Season,2,24.0,129.0,140.0,47,Winnipeg Jets,WPG,182,187,22.0,0.5106382978723404,2.825894304549876,2.825894304549876
