shoot_player,date,shot_per_game
A.J. Hammons,2016-11-09,5
A.J. Hammons,2016-11-23,1
A.J. Hammons,2016-11-25,1
A.J. Hammons,2016-12-03,2
A.J. Hammons,2016-12-07,2
A.J. Hammons,2016-12-12,2
A.J. Hammons,2016-12-16,1
A.J. Hammons,2016-12-18,4
A.J. Hammons,2016-12-19,3
A.J. Hammons,2016-12-30,1
A.J. Hammons,2017-04-04,6
A.J. Hammons,2017-04-07,2
A.J. Hammons,2017-04-09,7
A.J. Hammons,2017-04-11,1
A.J. Hammons,2017-04-12,4
Aaron Brooks,2016-11-01,7
Aaron Brooks,2016-11-03,4
Aaron Brooks,2016-11-05,7
Aaron Brooks,2016-11-07,7
Aaron Brooks,2016-11-09,3
Aaron Brooks,2016-11-11,3
Aaron Brooks,2016-11-12,8
Aaron Brooks,2016-11-14,9
Aaron Brooks,2016-11-16,7
Aaron Brooks,2016-11-18,6
Aaron Brooks,2016-11-20,6
Aaron Brooks,2016-11-21,7
Aaron Brooks,2016-11-23,3
Aaron Brooks,2016-11-25,7
Aaron Brooks,2016-11-27,6
Aaron Brooks,2016-11-30,10
Aaron Brooks,2016-12-04,1
Aaron Brooks,2016-12-05,1
Aaron Brooks,2016-12-07,2
Aaron Brooks,2016-12-09,3
Aaron Brooks,2016-12-10,6
Aaron Brooks,2016-12-12,5
Aaron Brooks,2016-12-14,7
Aaron Brooks,2016-12-15,3
Aaron Brooks,2016-12-17,7
Aaron Brooks,2016-12-19,2
Aaron Brooks,2016-12-20,4
Aaron Brooks,2016-12-22,3
Aaron Brooks,2016-12-26,8
Aaron Brooks,2016-12-28,2
Aaron Brooks,2016-12-30,5
Aaron Brooks,2017-01-01,9
Aaron Brooks,2017-01-03,2
Aaron Brooks,2017-01-05,7
Aaron Brooks,2017-01-07,3
Aaron Brooks,2017-01-12,10
Aaron Brooks,2017-01-16,4
Aaron Brooks,2017-01-18,3
Aaron Brooks,2017-01-20,3
Aaron Brooks,2017-01-21,3
Aaron Brooks,2017-01-26,2
Aaron Brooks,2017-01-27,4
Aaron Brooks,2017-01-29,3
