shoot_player,shot_count
A.J. Hammons,42
Aaron Brooks,300
Aaron Gordon,864
Aaron Harrison,4
Adreian Payne,54
Al Horford,801
Al Jefferson,471
Al-Farouq Aminu,466
Alan Anderson,80
Alan Williams,267
Alec Burks,248
Alex Abrines,341
Alex Len,462
Alex Poythress,54
Alexis Ajinca,178
Allen Crabbe,647
Alonzo Gee,14
Amir Johnson,369
Anderson Varejao,14
Andre Drummond,909
Andre Iguodala,415
Andre Roberson,463
Andrew Bogut,81
Andrew Harrison,360
Andrew Nicholson,111
Andrew Wiggins,1568
Anthony Bennett,92
Anthony Brown,50
Anthony Davis,1525
Anthony Morrow,251
Anthony Tolliver,351
Archie Goodwin,66
Arinze Onuaku,4
Aron Baynes,279
Arron Afflalo,420
Austin Rivers,731
Avery Bradley,775
Axel Toupane,9
Ben Bentil,3
Ben McLemore,419
Beno Udrih,197
Bismack Biyombo,341
Blake Griffin,971
Boban Marjanovic,132
Bobby Brown,60
Bobby Portis,375
Bojan Bogdanovic,845
Boris Diaw,327
Bradley Beal,1321
Brandan Wright,135
Brandon Bass,186
Brandon Ingram,687
Brandon Jennings,534
Brandon Knight,524
Brandon Rush,188
Brian Roberts,122
Briante Weber,60
Brice Johnson,7
Brook Lopez,1173
Bruno Caboclo,16
Bryn Forbes,99
Buddy Hield,768
CJ McCollum,1441
CJ Miles,647
CJ Watson,248
CJ Wilcox,31
Cameron Payne,193
Caris Levert,380
Carmelo Anthony,1390
Chandler Parsons,222
Channing Frye,520
Chasson Randle,98
Cheick Diallo,76
Chinanu Onuaku,7
Chris Andersen,22
Chris McCullough,32
Chris Paul,785
Christian Wood,23
Clint Capela,562
Cody Zeller,443
Cole Aldrich,86
Corey Brewer,348
Cory Joseph,661
Courtney Lee,704
Cristiano Felicio,222
D'Angelo Russell,867
D.J. Augustin,517
Damian Jones,16
Damian Lillard,1489
Damjan Rudez,88
Daniel Ochefu,27
Danilo Gallinari,750
Danny Green,448
Dante Cunningham,359
Dante Exum,364
Dario Saric,927
Darrell Arthur,215
Darren Collison,713
Darrun Hilliard,126
David Lee,420
David Nwaba,81
David West,252
Davis Bertans,234
DeAndre Jordan,577
DeAndre Liggins,142
DeAndre' Bembry,98
DeMar DeRozan,1545
DeMarcus Cousins,1433
DeMarre Carroll,549
Dejounte Murray,116
Delon Wright,115
Demetrius Jackson,4
Dennis Schroder,1215
Denzel Valentine,288
Deron Williams,600
Derrick Favors,417
"Derrick Jones, Jr.",120
Derrick Rose,977
Derrick Williams,244
Devin Booker,1430
Devin Harris,342
Dewayne Dedmon,259
Deyonta Davis,47
Diamond Stone,13
Dion Waiters,663
Dirk Nowitzki,678
Domantas Sabonis,481
Donatas Motiejunas,138
Dorian Finney-Smith,334
Doug McDermott,498
Dragan Bender,161
Draymond Green,651
Dwight Howard,614
Dwight Powell,377
Dwyane Wade,955
E'Twaun Moore,620
Ed Davis,142
Elfrid Payton,910
Elijah Millsap,7
Elliott Williams,12
Emmanuel Mudiay,552
Enes Kanter,737
Eric Bledsoe,1037
Eric Gordon,1014
Ersan Ilyasova,889
Evan Fournier,928
Evan Turner,551
Frank Kaminsky,802
Fred VanVleet,110
Garrett Temple,432
Gary Harris,636
Gary Neal,7
Gary Payton II,22
George Hill,606
George Niang,36
Georgios Papagiannis,102
Gerald Green,233
Gerald Henderson,551
Giannis Antetokounmpo,1257
Glenn Robinson III,339
Goran Dragic,1125
Gordon Hayward,1154
Gorgui Dieng,660
Greg Monroe,726
Greivis Vasquez,8
Guillermo Hernangomez,463
Harrison Barnes,1280
Hassan Whiteside,973
Henry Ellenson,64
Hollis Thompson,200
Ian Clark,433
Ian Mahinmi,110
Iman Shumpert,489
Isaiah Canaan,173
Isaiah Taylor,7
Isaiah Thomas,1473
Isaiah Whitehead,507
Ish Smith,748
Ivica Zubac,238
J.J. Barea,343
J.R. Smith,356
JJ Redick,891
JaMychal Green,499
JaVale McGee,319
Jabari Parker,814
Jae Crowder,720
Jahlil Okafor,470
Jake Layman,89
Jakob Poeltl,115
Jamal Crawford,870
Jamal Murray,729
Jameer Nelson,604
James Ennis III,321
James Harden,1532
James Johnson,762
James Jones,100
James Michael McAdoo,118
James Young,58
Jared Dudley,346
Jared Sullinger,48
Jarell Eddie,19
Jarell Martin,152
Jarnell Stokes,1
Jarrett Jack,3
Jarrod Uthoff,38
Jason Smith,330
Jason Terry,243
Jaylen Brown,424
Jeff Green,558
Jeff Teague,908
Jeff Withey,103
Jerami Grant,328
Jeremy Lamb,491
Jeremy Lin,400
Jerian Grant,301
Jerryd Bayless,32
Jimmy Butler,1252
Joakim Noah,202
Jodie Meeks,256
Joe Harris,362
Joe Ingles,451
Joe Johnson,625
Joe Young,72
Joel Anthony,16
Joel Bolomboy,16
Joel Embiid,429
Joffrey Lauvergne,335
John Henson,310
John Jenkins,5
John Lucas III,4
John Wall,1434
Johnny O'Bryant III,30
Jon Leuer,647
Jonas Jerebko,262
Jonas Valanciunas,702
Jonathan Gibson,95
Jonathon Simmons,421
Jordan Clarkson,1069
Jordan Crawford,218
Jordan Farmar,12
Jordan Hill,13
Jordan McRae,150
Jordan Mickey,34
Jose Calderon,134
Josh Huestis,11
Josh McRoberts,118
Josh Richardson,513
Jrue Holiday,894
Juancho Hernangomez,223
Julius Randle,774
Justin Anderson,436
Justin Hamilton,379
Justin Harper,12
Justin Holiday,538
Justise Winslow,226
Jusuf Nurkic,534
KJ McDaniels,170
