shoot_player,shot_count,avg_shot_game
A.J. Hammons,42,2.8
Aaron Brooks,300,4.838709677419355
Aaron Gordon,864,10.8
Aaron Harrison,4,1.0
Adreian Payne,54,3.6
Al Horford,801,11.779411764705882
Al Jefferson,471,7.246153846153846
Al-Farouq Aminu,466,7.639344262295082
Alan Anderson,80,2.857142857142857
Alan Williams,267,6.357142857142857
Alec Burks,248,6.048780487804878
Alex Abrines,341,5.246153846153846
Alex Len,462,6.0
Alex Poythress,54,9.0
Alexis Ajinca,178,4.8108108108108105
Allen Crabbe,647,8.189873417721518
Alonzo Gee,14,2.0
Amir Johnson,369,4.670886075949367
Anderson Varejao,14,1.4
Andre Drummond,909,11.222222222222221
Andre Iguodala,415,5.4605263157894735
Andre Roberson,463,5.860759493670886
Andrew Bogut,81,3.5217391304347827
Andrew Harrison,360,5.217391304347826
Andrew Nicholson,111,3.264705882352941
Andrew Wiggins,1568,19.121951219512194
Anthony Bennett,92,4.6
Anthony Brown,50,4.545454545454546
Anthony Davis,1525,20.333333333333332
Anthony Morrow,251,5.340425531914893
Anthony Tolliver,351,5.661290322580645
Archie Goodwin,66,4.714285714285714
Arinze Onuaku,4,1.3333333333333333
Aron Baynes,279,4.043478260869565
Arron Afflalo,420,7.0
Austin Rivers,731,9.878378378378379
Avery Bradley,775,14.090909090909092
Axel Toupane,9,3.0
Ben Bentil,3,3.0
Ben McLemore,419,7.482142857142857
Beno Udrih,197,5.794117647058823
Bismack Biyombo,341,4.371794871794871
Blake Griffin,971,15.918032786885245
Boban Marjanovic,132,4.125
Bobby Brown,60,3.0
Bobby Portis,375,6.147540983606557
Bojan Bogdanovic,845,10.432098765432098
Boris Diaw,327,4.671428571428572
Bradley Beal,1321,17.155844155844157
Brandan Wright,135,5.0
Brandon Bass,186,3.72
Brandon Ingram,687,8.69620253164557
Brandon Jennings,534,6.675
Brandon Knight,524,9.703703703703704
Brandon Rush,188,4.177777777777778
Brian Roberts,122,3.2972972972972974
Briante Weber,60,3.1578947368421053
Brice Johnson,7,2.3333333333333335
Brook Lopez,1173,15.64
Bruno Caboclo,16,3.2
Bryn Forbes,99,4.125
Buddy Hield,768,9.365853658536585
CJ McCollum,1441,18.0125
CJ Miles,647,8.513157894736842
CJ Watson,248,4.275862068965517
CJ Wilcox,31,2.2142857142857144
Cameron Payne,193,6.433333333333334
Caris Levert,380,6.666666666666667
