Ax_mean,Ax_SD,Ax_max,Ax_maxpos,Ax_min,Ax_minpos,Ax_skew,Ax_kurt,Ax_freq_amp,Ax_freq,Ax_energy,Ax_dif,Ay_mean,Ay_SD,Ay_max,Ay_maxpos,Ay_min,Ay_minpos,Ay_skew,Ay_kurt,Ay_freq_amp,Ay_freq,Ay_energy,Ay_dif,Az_mean,Az_SD,Az_max,Az_maxpos,Az_min,Az_minpos,Az_skew,Az_kurt,Az_freq_amp,Az_freq,Az_energy,Az_dif,Gx_mean,Gx_SD,Gx_max,Gx_maxpos,Gx_min,Gx_minpos,Gx_skew,Gx_kurt,Gx_freq_amp,Gx_freq,Gx_energy,Gx_dif,Gy_mean,Gy_SD,Gy_max,Gy_maxpos,Gy_min,Gy_minpos,Gy_skew,Gy_kurt,Gy_freq_amp,Gy_freq,Gy_energy,Gy_dif,Gz_mean,Gz_SD,Gz_max,Gz_maxpos,Gz_min,Gz_minpos,Gz_skew,Gz_kurt,Gz_freq_amp,Gz_freq,Gz_energy,Gz_dif,roll_mean,roll_SD,roll_max,roll_maxpos,roll_min,roll_minpos,roll_skew,roll_kurt,roll_freq_amp,roll_freq,roll_energy,roll_dif,pitch_mean,pitch_SD,pitch_max,pitch_maxpos,pitch_min,pitch_minpos,pitch_skew,pitch_kurt,pitch_freq_amp,pitch_freq,pitch_energy,pitch_dif,yaw_mean,yaw_SD,yaw_max,yaw_maxpos,yaw_min,yaw_minpos,yaw_skew,yaw_kurt,yaw_freq_amp,yaw_freq,yaw_energy,yaw_dif,Amag_mean,Amag_SD,Amag_max,Amag_ maxpos,Amag_min,Amag_minpos,Amag_skew,Amag_kurt,Amag_freq_amp,Amag_freq,Amag_energy,Amag_dif,Gmag_mean,Gmag_SD,Gmag_max,Gmag_maxpos,Gmag_min,Gmag_minpos,Gmag_skew,Gmag_kurt,Gmag_freq_amp,Gmag_freq,Gmag_energy,Gmag_dif,class
-0.48585931,1.757841362,11.73242188,151,-3.829589844,156,3.623999109,20.91426775,0.969431887,0.830564784,998.0557163,15.56201172,0.209474278,1.708669824,6.216308594,162,-14.73535156,150,-2.557878759,27.21681725,0.615225973,0.830564784,889.0734921,20.95166016,-0.453217465,0.971388505,2.683105469,150,-9.444335938,153,-6.368882059,55.82005859,0.453217465,0.415282392,344.9059155,12.12744141,3.36662345,241.1463897,554.6341463,162,-1687.926829,151,-2.831612682,18.91401618,146.4086438,0.830564784,17448885.96,2242.560976,20.70942387,136.7142888,524.6341463,149,-190.304878,170,1.95375128,6.277770775,118.7137542,0.830564784,5736331.982,714.9390244,-5.224860222,190.8732562,193.7804878,267,-758.7804878,148,-1.565989251,5.76917702,200.8323126,0.830564784,10937997.03,952.5609756,0.514493772,0.401337011,1.115600784,259,-0.029365577,17,0.008030234,1.525366238,0.514493772,0.415282392,127.9972752,1.14496636,-0.367054562,0.39965486,0.012490605,300,-1.101143256,166,-0.584223187,1.67396482,0.523095932,0.830564784,88.47064644,1.113633861,1.065949363,0.851817755,2.286935933,173,-0.020717566,19,-0.028343598,1.375377734,1.171019249,0.830564784,559.6887079,2.307653499,1.839511516,2.011227267,17.9236686,150,0.666295505,173,4.377631031,27.39764437,1.839511516,0.415282392,2232.035124,17.25737309,222.1151262,253.464929,1726.284131,151,6.068528444,12,2.491421959,11.90374807,222.1151262,0.415282392,34123214.98,1720.215602,Left_jab
-0.609978457,2.00325789,15.99951172,151,-3.645019531,133,4.506679497,34.45811814,0.959338987,1.245847176,1315.906841,19.64453125,0.238683555,1.65172834,3.098144531,136,-14.68652344,151,-3.89797242,34.34963384,0.666424958,2.906976744,835.6098742,17.78466797,-0.560202969,1.040825367,3.571289063,151,-9.575195313,154,-4.779700166,38.31161829,0.560202969,0.415282392,419.4572706,13.14648438,-1.231666802,179.372101,291.402439,164,-1275.304878,151,-2.744226964,15.88227831,140.2749045,0.830564784,9652761.808,1566.707317,9.179766632,110.396811,397.9268293,150,-142.9268293,167,1.039416081,4.163736818,123.7918986,0.830564784,3681601.469,540.8536585,6.262255895,186.766735,228.902439,209,-761.6463415,149,-1.492963407,6.217724109,178.3280885,0.830564784,10476347.97,990.5487805,0.235728895,0.137632569,0.435934493,220,-0.009146608,160,-0.20012742,1.76980026,0.235728895,0.415282392,22.40881887,0.445081101,-0.379513995,0.365072386,0.010224577,16,-0.978193203,164,-0.434777512,1.558963814,0.497539503,0.830564784,83.3366468,0.98841778,0.650594643,0.600157253,1.787790973,175,-0.058217977,10,0.501958068,1.862957985,0.816300944,0.830564784,235.4619089,1.84600895,1.953881986,2.177046843,22.00982625,151,0.84246474,223,5.469189917,41.85832117,1.953881986,0.415282392,2570.973986,21.16736151,205.6295104,192.2097733,1454.421976,151,10.34287266,27,2.561367047,13.04977646,205.6295104,0.415282392,23810711.24,1444.079104,Left_jab
-0.564552079,1.995245793,15.99951172,151,-3.55078125,157,4.524958495,34.5480584,1.013578226,0.830564784,1290.236166,19.55029297,0.186198998,1.920862755,4.216796875,159,-16,151,-4.460312164,39.09577486,0.810403916,2.906976744,1117.349807,20.21679688,-0.59651909,1.169762209,4.745605469,151,-11.90087891,154,-5.180810242,49.36190618,0.59651909,0.415282392,517.6094301,16.64648438,-7.261769711,188.7933178,303.902439,188,-1304.878049,152,-2.633343556,16.47046309,135.7693244,0.830564784,10708747.77,1608.780488,0.697471842,104.0629462,344.8780488,153,-171.1585366,171,0.904841988,3.825397759,112.3298012,0.830564784,3248875.457,516.0365854,10.31845069,198.8341753,266.5243902,204,-766.9512195,150,-1.421562689,5.730189645,168.7363808,0.830564784,11892556.37,1033.47561,0.040445791,0.121044179,0.180507165,99,-0.279867867,292,-0.950170053,3.063885338,0.10540699,0.830564784,4.887902455,0.460375033,-0.36136102,0.354943825,0,1,-0.97642995,165,-0.466663475,1.562951839,0.479160735,0.830564784,77.10065359,0.97642995,0.442030697,0.512505314,1.540404367,175,-0.34826416,292,0.769375397,2.455913665,0.626018314,0.830564784,137.6112412,1.888668527,2.019656395,2.378664055,23.11936735,151,0.993318889,1,5.464768444,40.09358567,2.019656395,0.415282392,2925.195404,22.12604846,205.7694147,209.0097521,1418.197145,151,5.775970758,35,1.978223435,9.777636315,205.7694147,0.415282392,25850179.6,1412.421174,Left_jab
-0.586876752,1.861487909,15.99951172,151,-5.044433594,156,3.968649895,30.79110559,0.893380534,0.830564784,1143.212892,21.04394531,0.19262452,1.686206205,3.732910156,137,-13.80957031,153,-3.031904009,25.31673847,0.606688136,2.491694352,864.1557753,17.54248047,-0.570773204,1.159606941,4.893066406,151,-11.18652344,154,-4.573730736,39.10100869,0.570773204,0.415282392,501.4668741,16.07958984,-7.343205575,204.7777805,435.7317073,169,-1122.256098,152,-1.69407637,8.624267345,143.2645622,0.830564784,12596412.53,1557.987805,10.56944332,113.7005549,467.0731707,153,-188.6585366,169,1.561601232,5.784665951,109.6804159,0.830564784,3911970.505,655.7317073,10.12762337,184.7771777,196.5243902,184,-734.3292683,149,-1.497630818,5.705878307,180.4932565,0.830564784,10273654.81,930.8536585,0.138054628,0.123128489,0.313985927,250,-0.259083386,300,-0.891144363,3.76720764,0.138054628,0.415282392,10.28497062,0.573069313,-0.357486119,0.348667586,0,1,-0.970392347,165,-0.430935799,1.530065899,0.469277543,0.830564784,74.93741943,0.970392347,0.626284662,0.580099175,1.740591955,175,-0.176794486,300,0.518774906,1.812804892,0.776829542,0.830564784,219.016492,1.917386441,1.907241112,2.170965511,19.48118935,151,0.644941165,198,4.755397726,31.57629475,1.907241112,0.415282392,2508.835541,18.83624818,209.1646498,213.0205998,1201.806185,151,4.736906246,56,1.729703779,7.124523804,209.1646498,0.415282392,26782037.85,1197.069279,Left_jab
-0.584925249,2.030898383,15.99951172,151,-3.991699219,156,3.776268554,25.00225495,0.977408009,0.830564784,1340.347874,19.99121094,0.166044825,1.884006316,4.678222656,159,-16,151,-4.2403712,39.22861051,0.567828636,2.491694352,1073.142776,20.67822266,-0.550064239,1.209593782,7.958007813,151,-10.12988281,154,-1.349841605,31.89946357,0.550064239,0.415282392,530.0089059,18.08789063,2.779961105,243.9677268,905.9756098,170,-1487.5,152,-1.365862014,12.55452777,142.1591472,0.830564784,17858401.7,2393.47561,20.108176,112.4029368,435.7926829,158,-174.6341463,169,1.616508882,5.776202235,109.3858394,0.830564784,3912032.02,610.4268293,5.554047484,188.7941421,197.5,286,-749.2073171,149,-1.589182401,5.998462328,181.2770529,0.830564784,10702253.51,946.7073171,0.29257014,0.163416874,0.52938959,277,-0.168461655,161,-0.764621766,3.063479303,0.29257014,0.415282392,33.77630572,0.697851245,-0.408237739,0.376945556,0.001075941,4,-1.024739852,164,-0.351737184,1.473232339,0.513047957,0.830564784,92.79045917,1.025815794,0.730457432,0.558683414,1.773509935,172,0,1,0.476601608,1.799656844,0.756551094,0.830564784,254.2421333,1.773509935,2.036903849,2.376732625,23.98570957,151,0.686169116,176,4.959678313,36.13542745,2.036903849,0.415282392,2943.499556,23.29954045,217.8446759,246.2271315,1531.172892,152,5.170357787,25,2.049334179,8.011353607,217.8446759,0.415282392,32472687.22,1526.002535,Left_jab
-0.630809087,1.946637227,15.99951172,151,-3.895507813,157,4.152251737,30.33134945,0.997172916,1.245847176,1256.592899,19.89501953,0.196564836,2.029942393,4.731933594,160,-16,151,-4.046479074,32.46909102,0.886473675,2.906976744,1247.829794,20.73193359,-0.595815057,1.121297646,4.349121094,151,-11.69677734,155,-6.525117899,65.0448787,0.595815057,0.415282392,484.0461934,16.04589844,-7.189854955,164.8195625,304.0243902,192,-1062.5,152,-2.068611397,11.68038568,120.8205704,1.245847176,8165206.358,1366.52439,5.722996516,101.4315934,389.8780488,150,-205,171,1.082856394,4.64209481,98.93564345,0.830564784,3096369.003,594.8780488,8.289846852,196.3480156,314.2682927,195,-768.4146341,150,-1.112678508,5.410260599,164.7139584,1.245847176,11586448.16,1082.682927,-0.086831128,0.277126621,0.164827498,114,-0.863912726,290,-1.700277306,4.794857883,0.229226783,1.245847176,25.3091822,1.028740224,-0.289394677,0.299406929,0,1,-0.896752614,163,-0.704726127,2.001908405,0.39491427,0.830564784,52.10188578,0.896752614,0.296822847,0.557895791,1.455333011,179,-0.66976977,294,0.469419751,2.590308991,0.649691167,0.830564784,119.8935586,2.125102781,2.017838921,2.424111548,23.04125061,151,0.621031944,220,5.087555562,35.52496433,2.017838921,0.415282392,2988.468886,22.42021866,194.389109,195.5683912,1115.743927,152,3.939420806,41,1.569067527,6.358127879,214.9762088,0.830564784,22848023.52,1111.804506,Left_jab
-0.512310852,1.819261792,15.61328125,151,-3.579101563,137,4.591579672,36.58503714,0.87275133,0.830564784,1071.915226,19.19238281,0.274582771,1.809281173,3.869628906,137,-16,151,-2.609237204,25.7694103,0.800751838,2.07641196,1004.743614,19.86962891,-0.583410117,1.385582781,2.416992188,151,-14.21142578,155,-6.522130361,58.01955072,0.583410117,0.415282392,678.4024696,16.62841797,-1.731018556,203.4153946,381.402439,163,-1192.621951,153,-2.203078736,12.57593138,133.175304,1.245847176,12414248.75,1574.02439,15.42784215,112.9706144,430.0609756,150,-150.6097561,172,1.450451025,5.450686833,112.1999004,0.830564784,3900351.428,580.6707317,7.927639575,200.0229544,278.7195122,257,-709.3902439,150,-0.980656162,4.326819688,219.208963,0.830564784,12021671.78,988.1097561,0.441958143,0.306028363,0.994156146,250,-0.082595233,300,0.013902348,1.858359523,0.441958143,0.415282392,86.88943488,1.076751379,-0.314170985,0.327840806,0.00653856,12,-0.848267254,166,-0.463518908,1.465406619,0.439987812,0.830564784,61.95360389,0.854805814,0.92931595,0.791240975,2.208647497,179,-0.021386027,300,0.28883541,1.48844698,1.091299906,0.830564784,447.7707528,2.230033524,1.986840154,2.285354558,22.48591565,151,0.834638924,267,4.70681299,32.44601425,1.986840154,0.415282392,2755.06131,21.65127673,219.5911802,214.6467311,1271.168236,152,7.713836391,49,1.853928257,7.922204963,219.5911802,0.415282392,28336271.96,1263.454399,Left_jab
-0.524164244,1.570029918,13.4296875,151,-4.851074219,158,3.558129857,26.50398749,0.87360523,0.830564784,822.1973777,18.28076172,0.277419993,2.225522244,7.981933594,159,-16,151,-3.936246282,30.95160213,0.796118235,3.322259136,1509.050295,23.98193359,-0.624808581,0.835991135,1.987304688,151,-6.866210938,155,-4.658617959,31.71423923,0.624808581,0.415282392,327.1704679,8.853515625,2.526740135,200.4961711,444.6341463,185,-1277.926829,152,-2.123307279,14.55785964,117.8629393,0.830564784,12061536.1,1722.560976,13.68527672,105.199279,429.3292683,152,-152.7439024,284,0.789031986,3.860749494,121.956904,0.830564784,3376439.82,582.0731707,6.900980472,189.9497858,289.9390244,153,-726.2195122,149,-1.375214538,5.377027312,187.1279965,0.830564784,10838611.02,1016.158537,0.299621877,0.203939804,0.770033508,196,-0.064201142,300,0.450823761,2.228843549,0.299621877,0.415282392,39.49918718,0.83423465,-0.309061615,0.29493815,0.006497898,14,-0.76322096,167,-0.272665099,1.391163685,0.404580117,0.830564784,54.84779719,0.769718858,0.744790477,0.652154239,1.906951024,182,-0.130329845,300,0.416492479,1.639630998,0.88460747,0.830564784,294.5601144,2.037280869,1.886468358,2.300167035,20.98346697,151,0.415249832,188,4.787241212,31.87541425,1.886468358,0.415282392,2658.41814,20.56821714,211.1380876,207.0283398,1354.975922,152,3.093573389,61,1.881922524,8.89656103,211.1380876,0.415282392,26276586.94,1351.882348,Left_jab
-0.562079851,1.794751274,15.99951172,151,-3.681152344,156,5.332326752,44.09141948,0.86015645,0.830564784,1061.435702,19.68066406,0.27157684,1.858368159,3.585449219,134,-16,153,-4.031460423,32.46208867,0.860954068,2.906976744,1058.259612,19.58544922,-0.655982338,1.026253213,2.2109375,151,-10.6875,154,-6.120841175,52.73157165,0.655982338,0.415282392,445.4828579,12.8984375,6.011870999,170.1708637,205.1219512,185,-1109.146341,152,-2.518146037,13.49553738,141.7754727,0.830564784,8698315.776,1314.268293,6.69556762,90.57256544,411.7682927,153,-112.6829268,299,1.478489079,6.250419785,93.80403754,0.830564784,2474510.901,524.4512195,4.186856819,196.5150255,274.695122,153,-777.4390244,150,-1.33927278,5.595816618,185.717851,0.830564784,11590723.04,1052.134146,0.346868955,0.188072844,0.619808112,197,0,1,-0.335039134,1.967424486,0.346868955,0.415282392,46.82715803,0.619808112,-0.287738072,0.288191338,0.018221368,37,-0.807239981,166,-0.575471704,1.765316937,0.387342223,0.830564784,49.83702683,0.825461349,0.743774917,0.661202739,1.927460168,181,-0.117736555,295,0.48611714,1.739499486,0.881351648,0.830564784,297.670258,2.045196722,1.880100058,2.23697007,20.14681006,151,0.668569551,196,5.433832284,38.73023256,1.880100058,0.415282392,2565.178172,19.47824051,200.6282405,188.3948934,1164.455568,151,5.350588041,9,2.063478299,9.276506754,200.6282405,0.415282392,22763549.71,1159.10498,Left_jab
-0.5987269,1.792818762,15.99951172,151,-5.996582031,157,3.764299691,30.42233856,0.910606745,0.830564784,1072.160378,21.99609375,0.117631982,2.019214436,3.801269531,137,-15.57861328,153,-3.281078155,24.01923235,0.911276427,2.906976744,1227.333104,19.37988281,-0.633641443,0.898240593,5.379394531,151,-7.225097656,155,-2.342809711,29.18638023,0.633641443,0.415282392,362.9027936,12.60449219,3.644761365,177.2028029,348.7195122,237,-1055.487805,152,-1.37132194,9.206494541,159.2745883,0.830564784,9424248.572,1404.207317,16.51142533,83.86286988,317.5,151,-171.0365854,170,0.69701744,3.52302802,88.66842042,0.830564784,2191955.06,488.5365854,4.393079977,193.5589598,250.7926829,263,-752.2560976,149,-1.235051158,5.323652196,199.5926857,0.830564784,11245330.32,1003.04878,0.110140358,0.164821699,0.538603379,258,-0.156247653,159,1.237756496,3.87728482,0.166597048,1.245847176,11.80125822,0.694851032,-0.380083691,0.338600622,0,1,-0.884053588,165,-0.263804706,1.361009095,0.466794726,0.830564784,77.8786617,0.884053588,0.654806735,0.591448658,1.696165558,181,-0.086089484,298,0.41082837,1.615160427,0.799910984,0.830564784,234.0037846,1.782255042,2.003029568,2.202079254,19.97077918,151,0.509811224,200,4.613980766,30.81876087,2.003029568,0.415282392,2662.396276,19.46096796,204.864518,184.6503296,1080.465405,152,4.144099107,24,1.461899344,6.265398793,204.864518,0.415282392,22861533.96,1076.321306,Left_jab
