,batterName,Run_Value
554,"Martinez, J",75.12479174706759
80,Betts,65.72446868148177
907,Trout,62.28642998504304
980,Yelich,60.583785685140555
715,"Ramirez, J",53.113121532640456
107,Bregman,47.991924988234
387,Harper,45.635484620701575
911,Turner,45.55105922047819
332,Goldschmidt,43.334644320017084
39,Arenado,42.74249947952878
456,Judge,41.458268259950174
510,Lindor,40.95665022211899
290,Freeman,40.53851840651557
74,Benintendi,38.3326975281933
728,Rendon,37.27161694919677
142,Castellanos,36.47249037914321
93,Bogaerts,36.236329248876615
618,Muncy,36.032064314901795
138,"Carpenter, M",35.56642535238833
523,Lowrie,33.9303723501456
868,Suarez,33.82798639182035
414,"Hicks, A",32.34126403293997
859,Story,31.91493416891793
745,Rizzo,31.710873939575453
941,Votto,31.613826949134996
531,Machado,31.4853527764135
49,"Baez, J",31.326481424560363
426,Hoskins,29.717074652294773
845,Soto,29.30002809348351
208,"Davis, K",28.775032215010874
1,Acuna Jr.,27.717121755183385
555,"Martinez, Jo",27.005183075819904
88,Blackmon,26.722389320216376
650,Ohtani,26.496611472677678
671,"Peralta, D",26.190608227810912
694,Piscotty,24.356371690167336
834,Smoak,24.202792855947173
129,Cain,24.196496414705695
721,Realmuto,24.16184777542274
158,"Chapman, M",23.925297266385364
8,Aguilar,23.346519212399638
193,Cruz,23.184667236514123
635,Nimmo,23.09034885945503
967,Winker,22.81890687421207
103,Brantley,22.35585139935076
383,Haniger,21.689339987569763
167,Choo,21.654212314303514
718,"Ramos, W",21.509201622794887
23,Altuve,21.068958933353464
219,Descalso,21.013437682913743
956,White,20.979843235154277
664,Pearce,20.9168398894135
358,Gregorius,20.825886876588804
249,Encarnacion,20.62953651646541
939,Voit,20.07811093215829
708,Profar,19.37902331070154
849,Springer,19.266185988904965
616,Moustakas,18.84772090302525
699,"Polanco, G",18.55802059249152
3,Adams,18.523683223194563
321,Gennett,18.45164280624416
163,"Chirinos, R",18.44486766999631
619,Munoz,18.3632554757394
545,Markakis,18.139062961445514
987,Zobrist,18.0833405621944
71,Bellinger,17.940977463245915
33,Andujar,17.940808164093742
550,"Marte, S",17.860100730209734
153,Cervelli,16.783361872124072
116,Bryant,16.51738061496376
425,Holt,16.35875622378542
851,Stanton,16.05517119176026
823,Simmons,15.570650068976896
353,Granderson,14.462897356338933
255,"Escobar, E",14.4469172354063
70,Bell,14.294959425028924
135,Cano,14.064277872643059
793,"Santana, C",13.847472574290272
293,Freese,13.809508284245798
26,"Anderson, B",13.649610279492627
132,Camargo,13.5809690259475
352,Grandal,13.475126815121445
817,"Shaw, T",13.324674447947066
177,Conforto,13.046929938605759
302,Gallo,12.843960153473727
362,Grossman,12.21853870213209
557,Martini,12.204649675975345
370,Gurriel,12.188467640906783
500,LeMahieu,12.16238636541459
646,O'Hearn,11.681883952806228
900,Torres,11.667617600975449
126,Cabrera,11.4751601419502
578,McNeil,11.333263335515847
409,"Herrera, O",11.247232042664184
244,Eaton,11.244822651165007
151,Cave,11.178253705063742
889,"Taylor, C",10.999029091588339
560,Mauer,10.97971797468979
665,Pederson,10.897644931188209
198,Culberson,10.860928954186987
954,Wendle,10.838867648862902
729,Renfroe,10.822297754433624
687,Pham,10.494929697255918
985,Zimmerman,10.31837522892435
913,Upton,10.171577182154675
570,McCutchen,10.012527962182988
105,Braun,9.796051141798204
600,Molina,9.628287716628238
127,"Cabrera, A",9.538133281312318
809,Segura,9.523669559360435
318,Gattis,9.451811176827125
709,Puig,9.413260684864664
134,Canha,9.357826906138847
224,"Diaz, E",9.323606296690485
401,"Hernandez, C",9.035618285887205
549,"Marte, K",9.0215045192929
805,Schwarber,8.99257890448969
608,Moran,8.892193642982845
155,"Cespedes, Y",8.885811514715911
842,Soler,8.861961769066633
340,"Gonzalez, C",8.86188021609729
0,Abreu,8.821658782945462
213,DeJong,8.801196722269525
465,"Kemp, M",8.755537671454963
44,Austin,8.718496582132717
20,Alonso,8.642588554823174
345,Goodrum,8.437787505310833
480,Kipnis,8.262535949523354
11,Albies,8.194942744000306
220,Desmond,8.150183885766241
286,"Frazier, A",8.148756768046647
620,"Murphy, D",7.852352302053134
651,Olson,7.787785698965765
588,Merrifield,7.74374403575476
700,"Polanco, J",7.692648816191091
200,Dahl,7.178587058662281
317,Garver,7.105488019675899
858,"Stewart, D",7.065800072292477
385,"Happ, I",6.84631801726824
769,"Rosario, E",6.814513372533828
893,Tellez,6.577967262665138
361,Grichuk,6.436510783197433
648,Odor,6.407326183308466
192,Cron,6.2866861286214055
73,Beltre,6.230586311154093
564,Mazara,6.123964539255477
800,Schebler,6.0792308793098195
413,Heyward,6.028056345670802
166,Choi,5.9981108818043465
496,Laureano,5.9791240866172135
63,Bautista,5.9013512914555974
627,Narvaez,5.746479327215715
625,Myers,5.569191057542956
791,Sandoval,5.535167572840839
894,Thames,5.402657015829327
128,"Cabrera, Me",5.190627600630901
647,O'Neill,5.028006671309627
373,Guzman,4.95907738025014
855,Stevenson,4.873459446104508
847,Span,4.715721147428135
374,Gyorko,4.3957735948199925
701,Pollock,4.267122296995401
832,"Smith, K",4.225488754579586
522,"Lowe, B",4.178142124942861
747,"Robertson, D",4.037926971844871
661,Parra,3.9363319244060886
857,"Stewart, C",3.918165148788376
494,"Lamb, J",3.8412943454101818
202,Davidson,3.4859754448810643
466,"Kemp, T",3.4794121056191285
232,Donaldson,3.4383177567515477
384,Hanson,3.4349535252682433
406,"Hernandez, K",3.3969502134084912
239,"Duffy, M",3.351754440549185
659,Palka,3.3386426235844233
885,Tapia,3.3260044066191274
490,La Stella,3.3198902016837466
423,Holliday,3.317302177313538
607,Morales,3.2415429324414267
580,Meadows,3.2182953151992546
371,Gurriel Jr.,3.2027751554094763
42,Astudillo,3.165310977250923
57,Barreto,3.1387992381245646
72,Belt,3.115198926478043
731,"Reyes, F",2.9669125231548317
165,Chisenhall,2.9161326406996766
969,Wisdom,2.8869285895335093
807,"Seager, C",2.865875995407541
343,"Gonzalez, M",2.7421683199576434
372,Guyer,2.695617848345609
521,Lorenzen,2.6038339323159785
763,"Romine, Au",2.557996244615484
705,Posey,2.5519881498047905
704,Porcello,2.479790636778376
658,Ozuna,2.3339226829617354
602,Mondesi,2.2943104795330105
833,"Smith, M",2.2053059792191063
346,Goodwin,2.1927922233573764
962,"Williams, N",2.189239822683878
874,Suter,2.185739525422753
236,Duda,2.161219853385048
185,Correa,2.123904826588672
626,Naquin,2.022151885978393
714,"Ramirez, H",1.9929388145208509
305,Gamel,1.929037969840496
575,"McGuire, R",1.9154299353775355
492,Lagares,1.76543808708033
451,"Jones, R",1.7649715390913847
761,Romine,1.7295965867468968
750,Robles,1.7195402309953596
41,"Arroyo, C",1.6539989851697636
225,"Diaz, Y",1.629664271674915
264,"Fernandez, Jose Mig",1.5935860274214102
733,"Reyes, P",1.539912224207696
765,"Rondon, J",1.5374439147160612
248,Ellis,1.5030944105148012
37,"Arcia, F",1.4163912276317197
678,"Perez, M",1.4095736593729067
518,"Lopez, Jo",1.4010648212586316
925,"Vargas, I",1.3306218499529137
830,"Smith, D",1.2714748263896403
770,"Rosario, R",1.220357872927966
609,Moreland,1.1975260358049797
493,Lamb,1.193332705015251
645,O'Brien,1.166107837022938
503,"Lee, B",1.1135211412470816
427,Hosmer,1.0672820759454464
77,Berti,1.0396554695581217
938,Vogelbach,1.0366154662056726
82,Biddle,1.0291225358040585
802,Schimpf,1.0016128542790286
767,Rosario,0.9969561359730599
983,Zagunis,0.9389737671206123
99,Bourjos,0.9341312407009668
390,"Harvey, M",0.8910828954838653
929,"Velazquez, A",0.8716204006575217
460,Kang,0.8551281459704826
315,Garneau,0.8354124651063104
644,Nuno III,0.8330616048325024
211,"De La Rosa, J",0.8303298713842409
497,Lavarnway,0.8093885923224992
864,Straw,0.7630191731758158
258,Farmer,0.7488020791370678
61,Bauers,0.7465753504498103
16,Allard,0.7318628254200263
898,Toles,0.717943042433749
196,Cuevas,0.7174792055094823
184,"Cordero, F",0.6740594853065176
572,McGowin,0.6576229548568415
92,Blevins,0.65573565989672
325,Gibson,0.6392606925849146
380,Hampson,0.6216052549488269
877,"Suzuki, K",0.6148316780841157
191,"Crawford, J",0.6014822168858642
48,Bader,0.5079441394594122
508,Lin,0.5017442028383361
434,Hutchison,0.49589899792387565
36,Arcia,0.474784247370703
937,Vincej,0.4589997575473328
819,Shipley,0.4532358695298658
759,Romero,0.4189028196569484
839,Sobotka,0.40685242949541434
964,Williamson,0.39201428778948777
470,Kepler,0.33965163202151344
921,Valencia,0.3393943554320703
438,Inciarte,0.3370454893448721
309,"Garcia, Ar",0.32900060987235724
468,Kennedy,0.2790667181164476
313,"Garcia, L",0.27761281694489015
958,Wilkerson,0.2729212379308854
836,Snell,0.27025056678933274
498,Law,0.26272077385590953
827,Skole,0.24619207542625887
247,Elias,0.22555216130015415
430,"Hudson, J",0.22337501766549103
879,Sweeney,0.21032740952313733
376,Hader,0.20960152356150746
852,Stassi,0.2082799800001135
586,Mengden,0.1818337660046715
123,Butler,0.1815935175038902
324,German,0.1784899991871739
75,Bergman,0.16748049396546016
354,Graterol,0.14932900433008445
935,Villar,0.12938172557626942
145,"Castillo, J",0.12256090548388965
445,Jennings,0.12227690352356038
216,Dean,0.11648542604589224
320,Gaviglio,0.09306718873615055
237,Duensing,0.08373198852687785
113,Broxton,0.07712187539702098
148,"Castro, H",0.07279996327473476
598,Minor,0.023601994181210395
310,"Garcia, Av",0.009050453865091457
794,"Santana, D",-0.028038799224775812
231,Dominguez,-0.03233556697413553
154,Cespedes,-0.06400296257519972
83,Bieber,-0.06843769801371899
844,"Sosa, E",-0.08018494188747582
930,VerHagen,-0.09747320061255743
806,Scribner,-0.09747320061255743
581,Medlen,-0.09747320061255743
611,Moronta,-0.09747320061255743
786,"Sanchez, Aa",-0.09747320061255743
62,Baumann,-0.09747320061255743
108,Brice,-0.09747320061255743
764,Romo,-0.09747320061255743
159,Chargois,-0.09747320061255743
31,Andriese,-0.09747320061255743
481,Kittredge,-0.09747320061255743
164,"Chirinos, Y",-0.09747320061255743
402,"Hernandez, D",-0.09747320061255743
776,Rusin,-0.10710273230500994
711,Quinn,-0.11678473677381579
174,"Cole, A",-0.12440671854122493
606,"Moore, Ad",-0.13171108211528137
461,Keller,-0.1513170206326
628,Navarro,-0.16118306721423759
990,"d'Arnaud, T",-0.16688713426101867
781,"Salas, F",-0.1669383951674976
837,Snelten,-0.1669383951674976
804,"Schoop, J",-0.1669383951674976
397,Hembree,-0.1669383951674976
662,Parsons,-0.1669383951674976
241,Duke,-0.1669383951674976
246,Eickhoff,-0.1669383951674976
144,"Castillo, D",-0.1669383951674976
256,Estrada,-0.1669383951674976
301,Gallegos,-0.1669383951674976
96,Bostick,-0.16773481935191392
866,Stroman,-0.17534388426014816
853,Stephens,-0.1848727117062909
100,Bowman,-0.18599952938029707
458,Jurado,-0.18599952938029707
515,Locastro,-0.18909157964598583
563,Mayers,-0.19506799771541034
85,"Bird, G",-0.196923101867825
121,Burnes,-0.20077768983300887
420,Hoffman,-0.20077768983300887
966,"Wilson, J",-0.20077768983300887
431,"Hughes, P",-0.20077768983300887
186,Covey,-0.20077768983300887
552,"Martin, R",-0.2177765372441447
59,Bashlor,-0.21923105525396
462,Kelley,-0.21923105525396
590,Meyer,-0.21923105525396
952,Webb,-0.22836243030824044
820,Shreve,-0.22836243030824044
686,Petricka,-0.22836243030824044
278,Flynn,-0.22836243030824044
67,"Beckham, T",-0.22836243030824044
534,Magill,-0.22836243030824044
447,"Johnson, P",-0.22836243030824044
418,"Hill, T",-0.22836243030824044
292,"Freeman, S",-0.22836243030824044
815,Shackelford,-0.22836243030824044
479,Kintzler,-0.22836243030824044
433,Hunter,-0.22836243030824044
912,Underwood Jr.,-0.22836243030824044
81,"Betts, M",-0.22836243030824044
573,McGrath,-0.22836243030824044
933,Vielma,-0.24941494937579262
298,Gale,-0.264411595780055
459,Kaczmarski,-0.2681349478088272
975,Wright,-0.2704013867865831
363,Gsellman,-0.2716915834346888
110,Brigham,-0.2718312566662042
574,"McGuire, D",-0.28361666035315936
4,"Adams, L",-0.2958521806098593
178,Conlon,-0.2970074542772237
106,Brebbia,-0.2982508904455663
210,"Davis, T",-0.30163954300313023
454,"Joseph, Co",-0.3098675008281828
266,Fillmyer,-0.31030598493946604
854,"Stephenson, R",-0.3167042558665174
683,"Peterson, Du",-0.3167042558665174
139,Carrasco,-0.3201469816084171
274,"Flores, W",-0.3217964695719545
968,Winkler,-0.3222631874097671
419,Hirano,-0.322395871242896
741,Riddle,-0.3238393469672921
238,"Duffy, D",-0.32583563092079787
856,Stewart,-0.32583563092079787
579,McRae,-0.32583563092079787
585,"Mendez, Y",-0.32583563092079787
986,Zimmermann,-0.32583563092079787
569,McCullers Jr.,-0.32583563092079787
742,"Rios, Y",-0.3263546798029557
507,Liberatore,-0.34218157518133596
161,Chavez,-0.34218157518133596
47,Avilan,-0.34218157518133596
737,Rhame,-0.34218157518133596
351,Grace,-0.3466193142410644
34,"Aquino, A",-0.36091854419410746
972,Wong,-0.3651551899626183
300,Gallardo,-0.36771608500050645
221,Despaigne,-0.3710161714468929
684,"Peterson, T",-0.38616945042145756
337,"Gomez, R",-0.38616945042145756
440,"Jackson, E",-0.38616945042145756
940,Voth,-0.38616945042145756
698,Plutko,-0.38677721921330593
412,Hess,-0.39006501773212726
752,"Rodriguez, E",-0.395300825475738
68,Beede,-0.395300825475738
262,"Feliz, M",-0.395300825475738
120,Bundy,-0.3969916473998835
280,Font,-0.40155537966601773
936,Viloria,-0.40216854097279375
824,Sims,-0.40537451499456195
499,LeBlanc,-0.41288560596805823
872,Suero,-0.4233088315333553
511,Liriano,-0.4291401201412493
141,Cashner,-0.4313499909475526
382,Hand,-0.43918799646954987
976,Wright Jr.,-0.43918799646954987
